name,playerID,gameID,season,week,team,teamID,opponent,opponentID,fieldGoalsMade1_19-fieldGoalAttempts1_19,fieldGoalsMade20_29-fieldGoalAttempts20_29,fieldGoalsMade30_39-fieldGoalAttempts30_39,fieldGoalsMade40_49-fieldGoalAttempts40_49,fieldGoalsMade50-fieldGoalAttempts50,longFieldGoalMade,fieldGoalPct,fieldGoalsMade-fieldGoalAttempts,fieldGoalsMadeYardsAverage,extraPointsMade-extraPointAttempts,totalKickingPoints
Josh Lambo,2998120,400791666,2015,2,SD,24,CIN,4,0-0,0-0,1-1,1-2,0-0,40,66.7,2-3,36,1-1,7
Josh Lambo,2998120,400791652,2015,13,SD,24,DEN,7,0-0,0-0,0-0,0-1,1-1,51,50.0,1-2,51,0-0,3
Josh Lambo,2998120,400791540,2015,7,SD,24,OAK,13,0-0,0-0,0-0,2-2,0-0,44,100.0,2-2,42,1-1,7
Josh Lambo,2998120,400791592,2015,3,SD,24,MIN,16,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Josh Lambo,2998120,400791519,2015,12,SD,24,JAX,30,0-0,1-1,0-0,0-0,0-0,28,100.0,1-1,28,4-4,7
Josh Lambo,2998120,400791715,2015,11,SD,24,KC,12,0-0,0-0,0-0,0-0,1-1,52,100.0,1-1,52,0-0,3
Wil Lutz,2985659,401437887,2022,13,NO,18,TB,27,0-0,2-2,1-1,0-0,0-0,38,100.0,3-3,29,1-1,10
Wil Lutz,2985659,401437810,2022,8,NO,18,LV,13,0-0,0-0,1-2,0-0,0-0,37,50.0,1-2,37,3-3,6
Wil Lutz,2985659,401437768,2022,5,NO,18,SEA,26,0-0,0-0,0-0,0-0,1-1,56,100.0,1-1,56,4-4,7
Wil Lutz,2985659,401437736,2022,3,NO,18,CAR,29,0-0,0-0,0-1,0-1,0-0,0,0.0,0-2,-,2-2,2
Wil Lutz,2985659,401437652,2022,2,NO,18,TB,27,0-0,0-0,1-1,0-0,0-0,31,100.0,1-1,31,1-1,4
Wil Lutz,2985659,401437851,2022,11,NO,18,LAR,14,0-0,1-1,0-0,1-1,0-0,46,100.0,2-2,36,3-3,9
Wil Lutz,2985659,401437831,2022,9,NO,18,BAL,33,0-0,0-0,2-2,0-0,0-0,37,100.0,2-2,35,1-1,7
Wil Lutz,2985659,401435639,2022,4,NO,18,MIN,16,0-0,0-0,0-0,0-0,1-2,60,50.0,1-2,60,2-2,5
Wil Lutz,2985659,401437838,2022,10,NO,18,PIT,23,0-0,0-0,0-0,1-1,0-0,44,100.0,1-1,44,1-1,4
Wil Lutz,2985659,401437791,2022,7,NO,18,ARI,22,0-0,1-1,0-0,1-1,0-0,45,100.0,2-2,35,4-4,10
Wil Lutz,2985659,401437870,2022,12,NO,18,SF,25,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,0-0,0
Wil Lutz,2985659,401437650,2022,1,NO,18,ATL,1,0-0,0-0,0-0,1-2,1-1,51,67.0,2-3,50,1-1,7
Wil Lutz,2985659,401437783,2022,6,NO,18,CIN,4,0-0,0-0,4-4,0-0,0-0,37,100.0,4-4,33,2-2,14
Wil Lutz,2985659,401220323,2020,3,NO,18,GB,9,0-0,0-0,2-2,1-1,0-0,45,100.0,3-3,38,3-3,12
Wil Lutz,2985659,401220399,2020,2,NO,18,TB,27,0-0,1-1,0-0,1-1,0-0,42,100.0,2-2,32,2-2,8
Wil Lutz,2985659,401220322,2020,7,NO,18,CAR,29,0-0,0-0,0-0,2-2,0-0,43,100.0,2-2,42,3-3,9
Wil Lutz,2985659,401220325,2020,15,NO,18,KC,12,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Wil Lutz,2985659,401220215,2020,12,NO,18,DEN,7,0-0,0-0,0-0,1-1,0-0,40,100.0,1-1,40,4-4,7
Wil Lutz,2985659,401220369,2020,1,NO,18,TB,27,0-0,2-2,0-0,0-0,0-0,29,100.0,2-2,25,4-4,10
Wil Lutz,2985659,401220324,2020,16,NO,18,MIN,16,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,7-7,10
Wil Lutz,2985659,401220327,2020,10,NO,18,SF,25,0-0,1-1,0-0,1-1,0-0,49,100.0,2-2,36,3-3,9
Wil Lutz,2985659,401220315,2020,17,NO,18,CAR,29,0-0,0-0,1-1,1-1,0-0,48,100.0,2-2,40,3-4,9
Wil Lutz,2985659,401220326,2020,5,NO,18,LAC,24,0-0,0-0,1-1,1-1,1-1,53,100.0,3-3,46,3-3,12
Wil Lutz,2985659,401220307,2020,13,NO,18,ATL,1,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,3-3,3
Wil Lutz,2985659,401220330,2020,9,NO,18,TB,27,0-0,0-0,1-1,0-0,0-0,36,100.0,1-1,36,5-5,8
Wil Lutz,2985659,401220231,2020,2,NO,18,LV,13,0-0,0-0,1-1,0-0,0-0,31,100.0,1-1,31,3-3,6
Wil Lutz,2985659,401220395,2020,1,NO,18,CHI,3,0-0,0-0,0-0,0-0,0-1,0,0.0,0-1,-,3-3,3
Wil Lutz,2985659,401220285,2020,4,NO,18,DET,8,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,5-5,5
Wil Lutz,2985659,401220321,2020,11,NO,18,ATL,1,0-0,1-1,0-0,0-0,0-1,22,50.0,1-2,22,3-3,6
Wil Lutz,2985659,401220277,2020,8,NO,18,CHI,3,0-0,1-2,3-3,0-0,0-0,39,80.0,4-5,35,2-2,14
Wil Lutz,2985659,401220265,2020,14,NO,18,PHI,21,0-0,0-0,0-0,0-1,0-1,0,0.0,0-2,-,3-3,3
Wil Lutz,2985659,401128084,2019,11,NO,18,TB,27,0-0,1-1,0-0,1-1,0-0,44,100.0,2-2,35,4-4,10
Wil Lutz,2985659,401128021,2019,1,NO,18,HOU,34,0-0,0-0,1-1,1-1,1-2,58,75.0,3-4,46,3-3,12
Wil Lutz,2985659,401128022,2019,13,NO,18,ATL,1,0-0,1-1,0-0,3-3,0-0,47,100.0,4-4,39,2-2,14
Wil Lutz,2985659,401128122,2019,2,NO,18,LAR,14,0-0,0-0,1-1,1-1,1-1,52,100.0,3-3,43,0-0,9
Wil Lutz,2985659,401131038,2019,1,NO,18,MIN,16,0-0,1-1,0-0,1-2,0-0,49,66.7,2-3,39,2-2,8
Wil Lutz,2985659,401131046,2019,4,NFC,32,AFC,31,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-4,3
Wil Lutz,2985659,401127922,2019,12,NO,18,CAR,29,0-0,0-0,1-1,1-1,0-0,41,100.0,2-2,37,4-4,10
Wil Lutz,2985659,401127935,2019,16,NO,18,TEN,10,0-0,0-0,0-0,1-1,0-0,47,100.0,1-1,47,5-5,8
Wil Lutz,2985659,401127948,2019,10,NO,18,ATL,1,0-0,2-2,0-0,1-1,0-0,47,100.0,3-3,35,0-0,9
Wil Lutz,2985659,401128046,2019,8,NO,18,ARI,22,0-0,1-1,0-0,0-1,0-0,26,50.0,1-2,26,4-4,7
Wil Lutz,2985659,401128102,2019,4,NO,18,DAL,6,1-1,1-1,0-0,2-2,0-0,42,100.0,4-4,32,0-0,12
Wil Lutz,2985659,401127982,2019,7,NO,18,CHI,3,0-0,0-0,2-2,0-1,0-1,39,50.0,2-4,34,4-4,10
Wil Lutz,2985659,401127993,2019,3,NO,18,SEA,26,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-4,3
Wil Lutz,2985659,401128116,2019,6,NO,18,JAX,30,0-0,1-1,0-0,1-1,0-0,47,100.0,2-2,34,1-1,7
Wil Lutz,2985659,401128117,2019,15,NO,18,IND,11,0-0,1-1,1-1,0-0,0-0,33,100.0,2-2,30,4-4,10
Wil Lutz,2985659,401127975,2019,17,NO,18,CAR,29,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,6-6,6
Wil Lutz,2985659,401127964,2019,14,NO,18,SF,25,0-0,0-0,0-0,1-1,1-1,55,100.0,2-2,52,4-4,10
Wil Lutz,2985659,401127965,2019,5,NO,18,TB,27,0-0,1-1,0-0,0-0,0-0,29,100.0,1-1,29,4-4,7
Wil Lutz,2985659,401030963,2018,11,NO,18,PHI,21,1-1,0-0,1-1,0-0,0-0,38,100.0,2-2,28,6-6,12
Wil Lutz,2985659,401030931,2018,4,NO,18,NYG,19,0-0,1-1,2-2,1-1,0-0,42,100.0,4-4,35,3-3,15
Wil Lutz,2985659,401030777,2018,3,NO,18,ATL,1,0-0,1-1,0-0,2-2,0-0,49,100.0,3-3,38,4-4,13
Wil Lutz,2985659,401030752,2018,10,NO,18,CIN,4,0-0,1-1,0-0,2-2,0-0,42,100.0,3-3,37,6-6,15
Wil Lutz,2985659,401030786,2018,8,NO,18,MIN,16,0-0,0-0,0-0,2-2,1-1,52,100.0,3-3,45,3-3,12
Wil Lutz,2985659,401038118,2018,3,NO,18,LAR,14,0-0,1-1,2-2,0-0,0-0,37,100.0,3-3,32,2-2,11
Wil Lutz,2985659,401030708,2018,2,NO,18,CLE,5,0-0,0-0,1-1,1-2,0-0,44,66.7,2-3,38,1-1,7
Wil Lutz,2985659,401030967,2018,15,NO,18,CAR,29,0-0,1-1,0-0,1-1,0-0,46,100.0,2-2,35,0-0,6
Wil Lutz,2985659,401030758,2018,14,NO,18,TB,27,0-0,0-0,2-2,0-0,0-0,36,100.0,2-2,33,2-2,8
Wil Lutz,2985659,401030923,2018,12,NO,18,ATL,1,0-0,1-1,0-0,0-0,0-0,22,100.0,1-1,22,4-4,7
Wil Lutz,2985659,401038958,2018,2,NO,18,PHI,21,0-0,0-0,1-1,1-1,0-1,45,66.7,2-3,42,2-2,8
Wil Lutz,2985659,401030913,2018,16,NO,18,PIT,23,0-0,0-0,0-0,1-1,0-1,43,50.0,1-2,43,4-4,7
Wil Lutz,2985659,401030836,2018,7,NO,18,BAL,33,0-0,0-0,1-1,0-0,0-0,39,100.0,1-1,39,3-3,6
Wil Lutz,2985659,401030899,2018,13,NO,18,DAL,6,0-0,0-0,1-1,0-0,0-0,33,100.0,1-1,33,1-1,4
Wil Lutz,2985659,401030855,2018,9,NO,18,LAR,14,0-0,0-0,0-0,0-0,1-1,54,100.0,1-1,54,6-6,9
Wil Lutz,2985659,401030768,2018,17,NO,18,CAR,29,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Wil Lutz,2985659,401030834,2018,5,NO,18,WSH,28,0-0,0-0,0-0,1-1,0-0,44,100.0,1-1,44,4-5,7
Wil Lutz,2985659,401030713,2018,1,NO,18,TB,27,0-0,0-0,1-1,0-0,0-0,36,100.0,1-1,36,3-3,6
Wil Lutz,2985659,400999177,2017,1,NO,18,CAR,29,0-0,0-0,0-0,0-0,1-1,57,100.0,1-1,57,4-4,7
Wil Lutz,2985659,400950241,2017,4,NO,18,MIA,15,0-0,0-0,0-0,2-3,0-0,45,66.7,2-3,44,2-2,8
Wil Lutz,2985659,400951585,2017,7,NO,18,GB,9,0-0,1-1,0-0,1-1,0-0,44,100.0,2-2,36,2-3,8
Wil Lutz,2985659,400951587,2017,3,NO,18,CAR,29,0-0,0-0,1-1,0-0,1-2,50,66.7,2-3,42,4-4,10
Wil Lutz,2985659,400951764,2017,17,NO,18,TB,27,0-0,0-0,0-0,1-1,0-0,48,100.0,1-1,48,3-3,6
Wil Lutz,2985659,400951555,2017,10,NO,18,BUF,2,0-0,1-1,0-0,0-0,1-1,53,100.0,2-2,38,5-6,11
Wil Lutz,2985659,400951557,2017,14,NO,18,ATL,1,0-0,0-0,1-1,0-0,0-0,34,100.0,1-1,34,2-2,5
Wil Lutz,2985659,400951722,2017,13,NO,18,CAR,29,0-0,0-0,1-2,0-0,0-0,31,50.0,1-2,31,4-4,7
Wil Lutz,2985659,400951755,2017,9,NO,18,TB,27,0-0,0-0,0-0,1-2,0-0,40,50.0,1-2,40,3-4,6
Wil Lutz,2985659,400951612,2017,1,NO,18,MIN,16,0-0,3-3,0-0,1-1,0-0,43,100.0,4-4,27,1-1,13
Wil Lutz,2985659,400999180,2017,2,NO,18,MIN,16,0-0,0-0,0-0,1-1,0-1,43,50.0,1-2,43,3-3,6
Wil Lutz,2985659,400951614,2017,12,NO,18,LAR,14,0-0,1-1,0-0,0-0,1-1,50,100.0,2-2,36,2-2,8
Wil Lutz,2985659,400951637,2017,16,NO,18,ATL,1,0-0,1-1,0-0,2-2,0-0,45,100.0,3-3,38,2-2,11
Wil Lutz,2985659,400951704,2017,6,NO,18,DET,8,0-0,0-0,0-0,1-1,0-0,41,100.0,1-1,41,7-7,10
Wil Lutz,2985659,400951639,2017,2,NO,18,NE,17,0-0,0-0,1-1,1-2,0-0,46,66.7,2-3,40,2-2,8
Wil Lutz,2985659,400951717,2017,8,NO,18,CHI,3,0-0,0-0,0-0,2-2,0-0,49,100.0,2-2,47,2-2,8
Wil Lutz,2985659,400951806,2017,15,NO,18,NYJ,20,0-0,1-1,0-0,0-0,0-0,23,100.0,1-1,23,4-4,7
Wil Lutz,2985659,400951780,2017,11,NO,18,WSH,28,0-0,2-2,0-0,1-1,1-1,52,100.0,4-4,38,2-2,14
Wil Lutz,2985659,400874626,2016,12,NO,18,LAR,14,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,7-7,7
Wil Lutz,2985659,400874606,2016,17,NO,18,ATL,1,1-1,0-0,0-0,1-1,0-0,40,100.0,2-2,30,2-2,8
Wil Lutz,2985659,400874529,2016,2,NO,18,NYG,19,0-0,0-0,1-2,1-1,0-0,45,66.7,2-3,42,1-1,7
Wil Lutz,2985659,400874717,2016,13,NO,18,DET,8,0-0,0-0,1-1,1-1,0-0,40,100.0,2-2,36,1-1,7
Wil Lutz,2985659,400874707,2016,6,NO,18,CAR,29,0-0,0-0,1-1,0-0,1-2,52,66.7,2-3,42,5-5,11
Wil Lutz,2985659,400874609,2016,11,NO,18,CAR,29,0-0,1-1,1-2,0-0,0-0,30,66.7,2-3,28,2-2,8
Wil Lutz,2985659,400874672,2016,4,NO,18,SD,24,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,5-5,5
Wil Lutz,2985659,400874586,2016,10,NO,18,DEN,7,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,2-3,5
Wil Lutz,2985659,400874597,2016,9,NO,18,SF,25,0-0,1-1,0-0,1-1,0-1,41,66.7,2-3,34,5-5,11
Wil Lutz,2985659,400874564,2016,8,NO,18,SEA,26,0-0,2-2,0-0,1-1,1-1,53,100.0,4-4,34,1-1,13
Wil Lutz,2985659,400874653,2016,3,NO,18,ATL,1,0-0,0-0,0-0,0-0,1-1,57,100.0,1-1,57,3-3,6
Wil Lutz,2985659,400874543,2016,1,NO,18,OAK,13,0-0,1-1,0-0,1-1,0-2,42,50.0,2-4,31,4-4,10
Wil Lutz,2985659,400874513,2016,16,NO,18,TB,27,0-0,1-1,1-1,1-1,0-0,42,100.0,3-3,32,2-2,11
Wil Lutz,2985659,400874689,2016,15,NO,18,ARI,22,0-0,0-0,2-2,0-0,0-0,39,100.0,2-2,38,6-6,12
Wil Lutz,2985659,400874491,2016,7,NO,18,KC,12,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Wil Lutz,2985659,400874550,2016,14,NO,18,TB,27,0-0,1-1,1-1,1-1,0-0,42,100.0,3-3,33,0-0,9
Brett Maher,16486,401437855,2022,11,DAL,6,MIN,16,0-0,1-1,0-0,0-0,3-3,60,100.0,4-4,62,4-4,16
Brett Maher,16486,401437789,2022,6,DAL,6,PHI,21,0-0,0-0,1-1,0-0,0-1,30,50.0,1-2,30,2-2,5
Brett Maher,16486,401437734,2022,2,DAL,6,CIN,4,0-0,0-0,0-0,0-0,2-2,54,100.0,2-2,52,2-2,8
Brett Maher,16486,401437747,2022,3,DAL,6,NYG,19,0-0,2-2,0-0,1-1,0-1,44,75.0,3-4,33,2-2,11
Brett Maher,16486,401437795,2022,7,DAL,6,DET,8,0-0,1-1,0-0,0-0,0-0,22,100.0,1-1,22,3-3,6
Brett Maher,16486,401437751,2022,4,DAL,6,WSH,28,0-0,2-2,0-0,1-1,1-1,53,100.0,4-4,39,1-2,13
Brett Maher,16486,401437774,2022,5,DAL,6,LAR,14,0-0,0-0,2-2,1-1,0-0,40,100.0,3-3,36,1-1,10
Brett Maher,16486,401437886,2022,13,DAL,6,IND,11,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,6-7,6
Brett Maher,16486,401437644,2022,1,DAL,6,TB,27,0-0,0-0,0-0,0-0,1-1,51,100.0,1-1,51,0-0,3
Brett Maher,16486,401437807,2022,8,DAL,6,CHI,3,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,7-7,7
Brett Maher,16486,401437858,2022,12,DAL,6,NYG,19,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,4-4,4
Brett Maher,16486,401437131,2022,10,DAL,6,GB,9,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,4-4,4
Brett Maher,16486,401437891,2022,14,DAL,6,HOU,34,0-0,0-0,1-1,0-0,1-1,53,100.0,2-2,43,3-3,9
Brett Maher,16486,401326575,2021,17,NO,18,CAR,29,0-0,1-1,1-1,2-2,0-0,41,100.0,4-4,36,0-1,12
Brett Maher,16486,401326487,2021,11,NO,18,PHI,21,0-0,1-1,0-0,0-0,0-0,28,100.0,1-1,28,2-3,5
Brett Maher,16486,401326585,2021,18,NO,18,ATL,1,0-0,1-1,2-3,0-0,0-0,37,75.0,3-4,32,3-3,12
Brett Maher,16486,401326568,2021,16,NO,18,MIA,15,0-0,0-0,1-1,0-0,0-0,38,100.0,1-1,38,0-0,3
Brett Maher,16486,401326529,2021,14,NO,18,NYJ,20,0-0,1-1,2-2,0-0,0-0,37,100.0,3-3,30,3-3,12
Brett Maher,16486,401326509,2021,13,NO,18,DAL,6,0-0,0-0,0-0,1-1,0-1,42,50.0,1-2,42,2-2,5
Brett Maher,16486,401326551,2021,15,NO,18,TB,27,0-0,0-0,2-2,1-1,0-0,42,100.0,3-3,39,0-0,9
Brett Maher,16486,401128052,2019,11,DAL,6,DET,8,0-0,0-0,2-2,0-0,0-0,34,100.0,2-2,32,3-3,9
Brett Maher,16486,401128041,2019,10,DAL,6,MIN,16,0-0,1-1,0-0,0-0,0-1,23,50.0,1-2,23,3-3,6
Brett Maher,16486,401128130,2019,6,DAL,6,NYJ,20,0-0,0-0,1-1,0-1,2-2,62,75.0,3-4,48,1-1,10
Brett Maher,16486,401128091,2019,9,DAL,6,NYG,19,0-0,1-1,1-1,0-0,1-2,52,75.0,3-4,38,4-4,13
Brett Maher,16486,401127957,2019,12,DAL,6,NE,17,0-0,2-2,0-0,1-2,0-0,46,75.0,3-4,34,0-0,9
Brett Maher,16486,401127871,2019,14,DAL,6,CHI,3,0-0,0-0,1-1,0-1,0-0,31,50.0,1-2,31,3-3,6
Brett Maher,16486,401128102,2019,4,DAL,6,NO,18,0-0,1-1,0-0,0-0,0-0,28,100.0,1-1,28,1-1,4
Brett Maher,16486,401128115,2019,2,DAL,6,WSH,28,0-0,1-1,0-0,0-0,0-0,25,100.0,1-1,25,4-4,7
Brett Maher,16486,401128017,2019,13,DAL,6,BUF,2,0-0,0-0,0-1,0-1,0-0,0,0.0,0-2,-,1-1,1
Brett Maher,16486,401128029,2019,5,DAL,6,GB,9,0-0,0-0,1-2,0-0,0-1,36,33.3,1-3,36,3-3,6
Brett Maher,16486,401128007,2019,1,DAL,6,NYG,19,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,5-5,5
Brett Maher,16486,401127987,2019,7,DAL,6,PHI,21,0-0,2-2,0-0,0-0,1-1,63,100.0,3-3,39,4-4,13
Brett Maher,16486,401127921,2019,3,DAL,6,MIA,15,0-0,1-1,0-0,0-0,0-1,28,50.0,1-2,28,4-4,7
Brett Maher,16486,401030875,2018,16,DAL,6,TB,27,0-0,1-1,0-0,0-0,1-1,59,100.0,2-2,40,3-3,9
Brett Maher,16486,401030776,2018,6,DAL,6,JAX,30,0-0,0-0,1-1,1-1,2-2,55,100.0,4-4,46,4-4,16
Brett Maher,16486,401030831,2018,5,DAL,6,HOU,34,0-0,1-1,0-0,2-2,0-0,48,100.0,3-3,39,1-1,10
Brett Maher,16486,401030854,2018,14,DAL,6,PHI,21,0-0,2-2,0-0,0-1,1-1,62,75.0,3-4,37,2-2,11
Brett Maher,16486,401030799,2018,3,DAL,6,SEA,26,0-0,0-0,1-1,0-0,1-1,50,100.0,2-2,42,1-1,7
Brett Maher,16486,401030862,2018,9,DAL,6,TEN,10,0-0,0-0,0-1,0-0,0-0,0,0.0,0-1,-,2-2,2
Brett Maher,16486,401038953,2018,1,DAL,6,SEA,26,0-0,0-0,1-1,0-0,0-1,39,50.0,1-2,39,3-3,6
Brett Maher,16486,401030929,2018,11,DAL,6,ATL,1,0-0,1-1,0-0,1-1,1-1,50,100.0,3-3,38,1-2,10
Brett Maher,16486,401030927,2018,15,DAL,6,IND,11,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,0-0,0
Brett Maher,16486,401030925,2018,12,DAL,6,WSH,28,0-0,1-1,0-0,0-0,0-0,28,100.0,1-1,28,4-4,7
Brett Maher,16486,401030837,2018,7,DAL,6,WSH,28,0-0,0-0,0-0,1-1,0-1,47,50.0,1-2,47,2-2,5
Brett Maher,16486,401030738,2018,2,DAL,6,NYG,19,0-0,1-1,1-1,0-0,0-0,37,100.0,2-2,33,2-2,8
Brett Maher,16486,401038956,2018,2,DAL,6,LAR,14,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Brett Maher,16486,401030869,2018,10,DAL,6,PHI,21,0-0,1-1,1-1,0-1,0-0,31,66.7,2-3,28,3-3,9
Brett Maher,16486,401030899,2018,13,DAL,6,NO,18,0-0,1-1,0-0,1-1,0-0,46,100.0,2-2,36,1-1,7
Brett Maher,16486,401030723,2018,1,DAL,6,CAR,29,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,0-0,0
Brett Maher,16486,401030812,2018,17,DAL,6,NYG,19,0-0,0-0,0-1,0-0,0-0,0,0.0,0-1,-,4-4,4
Brett Maher,16486,401030845,2018,4,DAL,6,DET,8,0-0,1-1,2-2,1-1,0-0,43,100.0,4-4,34,2-2,14
Matthew McCrane,3052413,401030930,2018,4,OAK,13,CLE,5,0-0,2-2,0-0,1-2,0-1,44,60.0,3-5,34,4-4,13
Matthew McCrane,3052413,401030970,2018,11,ARI,22,OAK,13,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Matthew McCrane,3052413,401030793,2018,5,OAK,13,LAC,24,0-0,1-1,0-0,0-0,0-1,24,50.0,1-2,24,1-1,4
Matthew McCrane,3052413,401030818,2018,17,PIT,23,CIN,4,0-0,0-0,2-2,1-1,0-0,47,100.0,3-3,40,1-1,10
Matthew McCrane,3052413,401030706,2018,6,OAK,13,SEA,26,0-0,0-0,0-0,1-2,0-0,43,50.0,1-2,43,0-0,3
Chase McLaughlin,3150744,401437872,2022,12,IND,11,PIT,23,0-0,0-0,0-0,0-0,1-2,51,50.0,1-2,83,2-2,5
Chase McLaughlin,3150744,401437762,2022,5,IND,11,DEN,7,0-0,0-0,1-1,1-1,2-2,52,100.0,4-4,46,0-0,12
Chase McLaughlin,3150744,401437840,2022,10,IND,11,LV,13,0-0,0-0,0-0,2-3,0-0,48,67.0,2-3,48,1-1,7
Chase McLaughlin,3150744,401437797,2022,7,IND,11,TEN,10,0-0,0-0,0-0,0-0,1-1,50,100.0,1-1,50,1-1,4
Chase McLaughlin,3150744,401437886,2022,13,IND,11,DAL,6,0-0,0-0,1-1,0-0,1-1,52,100.0,2-2,43,1-1,7
Chase McLaughlin,3150744,401437754,2022,4,IND,11,TEN,10,0-0,1-1,0-0,0-0,0-1,27,50.0,1-2,27,2-2,5
Chase McLaughlin,3150744,401437781,2022,6,IND,11,JAX,30,0-0,1-1,0-0,1-1,0-0,42,100.0,2-2,35,2-2,8
Chase McLaughlin,3150744,401437825,2022,9,IND,11,NE,17,0-0,0-0,0-1,1-1,0-0,40,50.0,1-2,40,0-0,3
Chase McLaughlin,3150744,401437814,2022,8,IND,11,WSH,28,0-0,1-1,1-1,1-1,0-0,46,100.0,3-3,35,1-1,10
Chase McLaughlin,3150744,401437638,2022,3,IND,11,KC,12,0-0,0-0,0-0,1-1,1-1,51,100.0,2-2,47,2-2,8
Chase McLaughlin,3150744,401326454,2021,9,CLE,5,CIN,4,0-0,2-2,0-0,0-1,0-0,28,67.0,2-3,26,5-5,11
Chase McLaughlin,3150744,401326365,2021,3,CLE,5,CHI,3,0-0,1-1,0-0,1-1,2-2,57,100.0,4-4,44,2-2,14
Chase McLaughlin,3150744,401326588,2021,18,CLE,5,CIN,4,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Chase McLaughlin,3150744,401326423,2021,7,CLE,5,DEN,7,0-0,0-0,0-0,0-1,1-1,52,50.0,1-2,52,2-2,5
Chase McLaughlin,3150744,401326468,2021,10,CLE,5,NE,17,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,1-1,1
Chase McLaughlin,3150744,401326314,2021,1,CLE,5,KC,12,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,3-3,3
Chase McLaughlin,3150744,401326526,2021,14,CLE,5,BAL,33,0-0,0-0,0-0,1-2,0-0,43,50.0,1-2,43,3-3,6
Chase McLaughlin,3150744,401326404,2021,5,CLE,5,LAC,24,0-0,0-0,2-2,0-0,0-0,35,100.0,2-2,33,4-4,10
Chase McLaughlin,3150744,401326539,2021,15,CLE,5,LV,13,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,2-2,2
Chase McLaughlin,3150744,401326418,2021,6,CLE,5,ARI,22,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Chase McLaughlin,3150744,401326507,2021,12,CLE,5,BAL,33,0-0,0-0,0-0,1-2,0-0,46,50.0,1-2,46,1-1,4
Chase McLaughlin,3150744,401326483,2021,11,CLE,5,DET,8,0-0,0-0,0-0,0-1,0-0,0,0.0,0-1,-,1-2,1
Chase McLaughlin,3150744,401326130,2021,2,CLE,5,HOU,34,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,4-4,7
Chase McLaughlin,3150744,401326584,2021,17,CLE,5,PIT,23,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Chase McLaughlin,3150744,401326440,2021,8,CLE,5,PIT,23,0-0,0-0,1-1,0-0,0-0,30,100.0,1-1,30,1-1,4
Chase McLaughlin,3150744,401326385,2021,4,CLE,5,MIN,16,0-0,0-0,0-0,1-1,1-1,53,100.0,2-2,50,0-0,6
Chase McLaughlin,3150744,401220303,2020,13,JAX,30,MIN,16,0-0,1-1,0-0,0-0,0-1,22,50.0,1-2,22,1-2,4
Chase McLaughlin,3150744,401220295,2020,10,JAX,30,GB,9,0-0,0-0,1-1,0-0,1-1,52,100.0,2-2,42,2-2,8
Chase McLaughlin,3150744,401220132,2020,17,NYJ,20,NE,17,0-0,0-0,0-0,0-0,0-0,0,0.0,0-0,-,2-2,2
Chase McLaughlin,3150744,401220198,2020,11,JAX,30,PIT,23,0-0,0-0,0-0,1-1,0-0,41,100.0,1-1,41,0-0,3
Chase McLaughlin,3150744,401127988,2019,17,IND,11,JAX,30,0-0,1-1,0-0,0-0,1-1,50,100.0,2-2,35,2-2,8
Chase McLaughlin,3150744,401127979,2019,7,LAC,24,TEN,10,0-0,1-1,0-0,0-0,1-1,50,100.0,2-2,40,2-2,8
Chase McLaughlin,3150744,401128131,2019,6,LAC,24,PIT,23,0-0,0-0,1-1,0-1,0-0,38,50.0,1-2,38,2-2,5
