team,teamID,gameID,season,week,opponent,opponentID,completions,passingAttempts,passingYards,completionPct,yardsPerPassAttempt,yardsPerCompletion,passingTouchdowns,interceptions,sacks,rushingYards,rushingAttempts,yardsPerRushAttempt,rushingTouchdowns,receivingTouchdowns,fumbles,fumblesRecovered,fieldGoalsMade1_19,fieldGoalsMade20_29,fieldGoalsMade30_39,fieldGoalsMade40_49,fieldGoalsMade50,extraPointsMade,totalKickingPoints
KC,11,321223012,2012,16,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,2,8,8
KC,29,321202012,2012,13,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
KC,7,321125012,2012,12,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,5
KC,7,321230007,2012,17,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,8
KC,33,310109012,2010,1,KC,12,25,34,265,73.5,7.8,10.6,2,0,4,26.0,7,3.71,0,0,0,0,0,0,0,0,0,0,0,0
KC,25,300926012,2010,3,KC,12,0,0,0,0,0,0,0,0,0,43.0,15,2.87,0,0,0,0,0,0,0,0,0,0,0,0
KC,26,301128026,2010,12,KC,12,0,0,0,0,0,0,0,0,0,20.0,7,2.86,0,0,0,0,0,0,0,0,0,0,0,0
KC,14,301219014,2010,15,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,7,7
KC,22,301121012,2010,11,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
KC,30,301024012,2010,7,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,7,301114007,2010,10,KC,12,0,0,0,0,0,0,0,0,0,2.0,2,1.0,1,0,0,0,0,0,0,0,0,7,7,13
KC,7,301205012,2010,13,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,6
KC,11,301010011,2010,5,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,13,13
KC,33,290913033,2009,1,KC,12,26,43,307,60.5,7.1,11.81,3,1,1,18.0,5,3.6,0,0,0,0,0,0,0,1,0,5,8,8
KC,2,291213012,2009,14,KC,12,0,0,0,0,0,0,0,0,0,84.0,12,7.0,0,0,0,0,0,0,0,0,0,0,0,0
KC,21,290927021,2009,3,KC,12,0,0,0,0,0,0,0,0,0,84.0,20,4.2,1,1,0,0,0,0,0,0,0,0,0,12
KC,30,291108030,2009,9,KC,12,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KC,6,291011012,2009,5,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,8
KC,7,291206012,2009,13,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,14,14
KC,7,300103007,2009,17,KC,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,6
KC,15,311106012,2011,9,KC,12,17,23,244,73.9,10.6,14.35,3,0,0,3.0,4,0.75,0,0,0,0,0,0,0,0,0,0,0,0
KC,9,311218012,2011,15,KC,12,17,35,235,48.6,6.7,13.82,1,0,4,32.0,3,10.67,1,0,0,0,0,0,0,0,0,2,2,8
KC,8,310918008,2011,2,KC,12,23,39,294,59.0,7.5,12.78,4,1,0,1.0,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0
